Country,Year,Mission Name,Mission Type,Launch Site,Satellite Type,Budget (in Billion $),Success Rate (%),Technology Used,Environmental Impact,Collaborating Countries,Duration (in Days)
China,2022,Sharable tertiary superstructure,Unmanned,Sheilatown,Navigation,3.39,98,Reusable Rocket,High,"France, UK, Russia",112
Japan,2018,Re-engineered composite flexibility,Unmanned,New Ericfurt,Research,2.43,100,Traditional Rocket,Low,Germany,236
India,2024,Balanced discrete orchestration,Unmanned,North Jasonborough,Navigation,0.3,98,Reusable Rocket,Medium,"China, India",277
USA,2023,Down-sized holistic methodology,Unmanned,North Kevin,Communication,6.22,97,Traditional Rocket,High,France,166
Germany,2023,Adaptive coherent definition,Unmanned,Wilsonburgh,Navigation,0.27,96,Solar Propulsion,High,"Japan, Russia, India",203
India,2024,Innovative 6thgeneration algorithm,Unmanned,South William,Communication,0.1,92,Reusable Rocket,Low,"India, UK, China",25
France,2024,Reactive heuristic pricing structure,Unmanned,South Sarahton,Communication,1.25,98,Reusable Rocket,High,"India, China",117
UK,2007,Innovative client-server matrix,Unmanned,Marcusborough,Weather,1.42,89,Traditional Rocket,Low,USA,56
Russia,2023,Up-sized bifurcated conglomeration,Unmanned,North Shannon,Weather,0.42,90,Traditional Rocket,High,Germany,219
China,2024,Public-key disintermediate matrix,Unmanned,Kathrynmouth,Navigation,3.75,95,Reusable Rocket,High,"USA, Germany",303
India,2020,Enterprise-wide heuristic knowledge user,Unmanned,Rodriguezshire,Weather,1.17,90,Traditional Rocket,Low,France,208
Russia,2017,Innovative zero tolerance workforce,Unmanned,West Katherineville,Spy,1.87,92,Traditional Rocket,High,"Germany, India",360
USA,2024,Digitized intangible encryption,Unmanned,New Cassandraside,Weather,1.21,95,Traditional Rocket,High,"Japan, USA",155
Germany,2019,Organic tertiary access,Unmanned,Lamville,Weather,2.6,95,Traditional Rocket,Low,USA,32
India,2020,Phased context-sensitive intranet,Unmanned,Popehaven,Weather,1.62,88,Traditional Rocket,Very High,"Germany, USA",73
Russia,2019,Persevering holistic open architecture,Unmanned,Barbarahaven,Weather,2.6,99,Solar Propulsion,High,UK,147
China,2024,Exclusive actuating conglomeration,Unmanned,Zacharyberg,Communication,3.54,91,Reusable Rocket,High,Japan,29
USA,2020,Cross-group bandwidth-monitored help-desk,Unmanned,Maldonadofort,Communication,17.85,94,Traditional Rocket,Low,"India, Russia",241
UK,2015,Quality-focused discrete implementation,Unmanned,North Alexanderview,Weather,2.83,88,Traditional Rocket,Medium,"India, USA, Russia",191
Japan,2022,De-engineered mission-critical time-frame,Unmanned,Dunnfort,Communication,1.32,95,Traditional Rocket,Low,USA,15
India,2004,Exclusive object-oriented adapter,Unmanned,Lake Susan,Communication,0.19,93,Traditional Rocket,Low,,169
Germany,2017,Versatile 4thgeneration Local Area Network,Unmanned,Woodburgh,Weather,0.21,91,Traditional Rocket,Low,UK,210
France,2024,Balanced multimedia challenge,Unmanned,Lake Meghan,Weather,1.26,98,Traditional Rocket,Medium,France,353
Russia,2006,Optimized zero administration project,Unmanned,East Andrewtown,Spy,1.51,92,Traditional Rocket,High,"Russia, Germany, USA",76
Japan,2024,Programmable global ability,Unmanned,Williamsburgh,Research,0.96,94,Traditional Rocket,Medium,"Japan, UK",322
France,2022,Ergonomic systematic access,Unmanned,North Scottville,Navigation,0.48,98,Traditional Rocket,Low,"Russia, Germany",215
Japan,2022,Face-to-face homogeneous circuit,Unmanned,North Brandon,Research,0.46,93,Solar Propulsion,Medium,Japan,326
India,2016,Advanced client-driven budgetary management,Unmanned,South Sherri,Navigation,0.1,96,Traditional Rocket,Low,"China, France, UK",191
India,2024,Down-sized systemic leverage,Unmanned,Lake Hannah,Communication,0.41,93,Reusable Rocket,Medium,"UK, China",307
Russia,2023,Open-source bi-directional benchmark,Manned,New Georgeport,Research,0.11,90,Reusable Rocket,High,Germany,213
USA,2003,Business-focused grid-enabled success,Unmanned,West Richard,Communication,24.07,98,Traditional Rocket,High,UK,143
Russia,2024,Programmable demand-driven knowledge user,Unmanned,South Makayla,Navigation,0.82,99,Traditional Rocket,Medium,"Germany, France, India",358
USA,2015,Decentralized leadingedge standardization,Manned,Benjaminfurt,Spy,23.36,95,Traditional Rocket,High,India,177
USA,2009,Reduced local capability,Unmanned,Jeffreyfort,Research,6.65,90,Traditional Rocket,Medium,"Germany, Japan",175
India,2024,Centralized multi-tasking monitoring,Unmanned,Elizabethside,Navigation,0.75,90,Reusable Rocket,Low,"India, Germany, Russia",154
Japan,2018,Distributed responsive system engine,Unmanned,West Haleyton,Weather,2.43,95,Traditional Rocket,Low,"USA, France",283
Japan,2022,Synergized fault-tolerant portal,Unmanned,Smithbury,Communication,0.98,100,Reusable Rocket,Medium,,165
USA,2020,Upgradable zero tolerance collaboration,Unmanned,New Jennifer,Spy,18.48,94,Traditional Rocket,High,"USA, China, India",119
Russia,2024,Cloned mobile policy,Manned,Reillyborough,Weather,0.72,98,Traditional Rocket,Medium,China,259
India,2023,Implemented value-added complexity,Unmanned,Stephaniehaven,Navigation,1.04,90,Traditional Rocket,High,"Russia, Germany, UK",260
France,2021,Managed actuating definition,Unmanned,Kochshire,Weather,1.26,94,Reusable Rocket,High,"Russia, China",140
UK,2022,Polarized motivating project,Unmanned,Darrenfurt,Spy,1.44,98,Solar Propulsion,Medium,"China, USA, Russia",229
India,2020,Customizable fault-tolerant secured line,Unmanned,Whiteside,Communication,1.95,99,Solar Propulsion,Medium,Germany,60
China,2023,Managed actuating emulation,Unmanned,Schroederfurt,Research,6.96,93,Traditional Rocket,Medium,UK,39
Germany,2022,Vision-oriented modular website,Unmanned,Jamesfurt,Weather,0.63,97,Traditional Rocket,Low,"India, Japan",342
China,2010,Inverse mission-critical task-force,Unmanned,Greenport,Communication,2.11,94,Traditional Rocket,Medium,,13
Russia,2017,Fundamental mission-critical knowledge user,Unmanned,Port Mariah,Navigation,0.36,92,Traditional Rocket,Medium,USA,318
Japan,2023,Distributed coherent workforce,Unmanned,Webbtown,Weather,0.75,100,Traditional Rocket,Low,France,146
UK,2024,Implemented actuating info-mediaries,Unmanned,Mossfort,Weather,0.16,94,Traditional Rocket,High,Germany,148
UK,2024,Proactive context-sensitive utilization,Unmanned,Deanmouth,Communication,0.62,93,Reusable Rocket,Low,"China, India",239
India,2024,Optional dedicated implementation,Unmanned,West Jeffrey,Weather,0.27,92,Traditional Rocket,High,"China, France, India",118
USA,2002,Reduced solution-oriented migration,Unmanned,Georgestad,Navigation,53.33,100,Traditional Rocket,High,"France, Germany",309
UK,2017,Synchronized user-facing Local Area Network,Unmanned,West Pamelaville,Communication,0.25,92,Traditional Rocket,Medium,Germany,274
Russia,2019,Down-sized empowering circuit,Unmanned,East Christopher,Spy,3.76,93,Traditional Rocket,Low,"India, Russia",191
China,2023,Front-line client-driven Internet solution,Unmanned,East Brianside,Spy,5.68,97,Reusable Rocket,Medium,"Japan, India, China",93
Russia,2023,Self-enabling encompassing neural-net,Unmanned,New Mary,Spy,0.25,94,Reusable Rocket,High,China,262
Germany,2022,Total foreground contingency,Unmanned,Deborahville,Communication,0.24,95,Traditional Rocket,Low,,3
India,2012,Innovative directional collaboration,Unmanned,Richardchester,Communication,3.21,95,Traditional Rocket,Medium,"France, UK, Russia",134
Germany,2024,Optional web-enabled secured line,Unmanned,Port Miguelberg,Communication,0.22,91,Reusable Rocket,High,Germany,6
Germany,2024,Right-sized high-level help-desk,Unmanned,Ericaton,Navigation,0.47,95,Solar Propulsion,High,"USA, Japan",88
Russia,2024,Reduced optimizing artificial intelligence,Unmanned,South Emily,Navigation,0.82,100,Solar Propulsion,High,"UK, USA, China",5
Japan,2002,Mandatory homogeneous success,Unmanned,North Troy,Weather,1.12,93,Traditional Rocket,High,,58
Russia,2024,Profound actuating customer loyalty,Unmanned,Martinezburgh,Navigation,0.57,91,Solar Propulsion,High,"Japan, Russia, Germany",39
USA,2024,Expanded homogeneous concept,Unmanned,Lake Monique,Weather,12.91,92,Reusable Rocket,Low,Russia,311
USA,2020,Mandatory next generation strategy,Unmanned,Lake Marie,Research,2.03,97,Traditional Rocket,High,USA,330
China,2022,Secured asymmetric array,Unmanned,Sarahfort,Spy,1.45,95,Reusable Rocket,Low,"USA, France",251
